Year,CODE,True_Value_Log,Fitted_Value_Log,Residual_Log,True_Value_Original,Fitted_Value_Original,Residual_Original,Standardized_Residual,Absolute_Error_Log,Absolute_Error_Original,Squared_Error_Log,Squared_Error_Original,Leverage,Cooks_Distance,Relative_Error_Original,Percentage_Error_Original
2015,610628,8.711423683013114,8.944197816510018,-0.23277413349690335,6071.880771,7663.298752013524,-1591.4179810135238,-0.7057650005699387,0.23277413349690335,1591.4179810135238,0.05418379722523418,2532611.1902931603,0.0332787697541763,7.02636766586674e-05,-0.26209638183515044,-26.209638183515043
2016,610628,8.701517740215042,8.87527984367788,-0.17376210346283827,6012.029995999998,7152.947894658388,-1140.9178986583893,-0.5268420902579163,0.17376210346283827,1140.9178986583893,0.03019326859983011,1301693.6514790747,0.03836413646646021,4.561534226092635e-05,-0.1897724893950096,-18.97724893950096
2017,610628,8.706498584190205,8.920122375758382,-0.21362379156817646,6042.049678999995,7481.004667292449,-1438.954988292454,-0.6477016716287002,0.21362379156817646,1438.954988292454,0.0456351243239637,2070591.458331736,0.037840552395918936,6.792963668818932e-05,-0.23815676214873688,-23.815676214873687
2018,610628,8.722538701232159,9.027166982676652,-0.3046282814444936,6139.746301000005,8326.23775167281,-2186.4914506728055,-0.9236248718767226,0.3046282814444936,2186.4914506728055,0.09279838985582561,4780744.863865269,0.03316792146535202,0.00011990941325182254,-0.35612081403374646,-35.612081403374646
2019,610628,8.71173983011831,8.92911360365048,-0.21737377353217013,6073.800682000005,7548.571383804864,-1474.7707018048595,-0.6590715175097525,0.21737377353217013,1474.7707018048595,0.04725135741961519,2174948.622901998,0.03334438837353024,6.140308275396706e-05,-0.24280854427367238,-24.280854427367238
2020,610628,8.71143739316858,8.976423696169833,-0.2649863030012529,6071.964018000005,7914.27758228037,-1842.3135642803645,-0.8034314443756405,0.2649863030012529,1842.3135642803645,0.07021774077827182,3394119.2691314206,0.03279024591668222,8.962865392760934e-05,-0.303413122808193,-30.3413122808193
2021,610628,8.727039540536927,9.020568491721468,-0.29352895118454114,6167.442594000001,8271.478011689003,-2104.0354176890023,-0.8899719968361824,0.29352895118454114,2104.0354176890023,0.08615924518349674,4426965.038889734,0.03388999306836021,0.00011392443619783098,-0.34115200678736984,-34.11520067873698
2022,610628,8.709065209026983,9.005535086193218,-0.29646987716623485,6057.577272000004,8148.059552699088,-2090.482280699084,-0.8988888064316688,0.29646987716623485,2090.482280699084,0.08789438806696238,4370116.165916844,0.033207125238835206,0.00011371617113293147,-0.34510204110180154,-34.510204110180155
1980,610629,8.023040889721866,8.47771587139147,-0.45467498166960496,3050.439293000002,4806.458779082895,-1756.0194860828924,-1.378562488350771,0.45467498166960496,1756.0194860828924,0.20672933895625561,3083604.4355028253,0.028707229164016163,0.00022908136532904573,-0.5756611810346528,-57.56611810346528
1981,610629,7.760810724619091,8.258878899589643,-0.4980681749705518,2346.8064480000003,3861.76224947221,-1514.9558014722097,-1.5101294998339503,0.4980681749705518,1514.9558014722097,0.24807190691849618,2295091.0804143054,0.028724179188962293,0.00027506589167783493,-0.6455393041736732,-64.55393041736733
1982,610629,7.994913346136862,8.247421843234186,-0.2525084970973239,2965.8333850000004,3817.77031201455,-851.9369270145498,-0.7655990677339498,0.2525084970973239,851.9369270145498,0.06376054110634924,725796.5276109944,0.028852993275722008,7.103454454505857e-05,-0.28725043400054306,-28.725043400054307
1983,610629,8.32637352713573,8.529599173992798,-0.20322564685706723,4131.407913999999,5062.416279993401,-931.0083659934016,-0.6161747725797562,0.20322564685706723,931.0083659934016,0.041300663540473403,866776.5775497037,0.028883961143231864,4.6064696144531877e-05,-0.22534893319018842,-22.534893319018842
1984,610629,8.431915912481825,8.657469423820922,-0.22555351133909696,4591.288177999999,5752.957928221075,-1161.6697502210764,-0.6838722656480521,0.22555351133909696,1161.6697502210764,0.05087438647739614,1349476.608578698,0.028808118119727083,5.6584915330692906e-05,-0.2530160828909478,-25.30160828909478
1985,610629,8.52511719997128,8.463486998756172,0.06163020121510776,5039.777433000002,4738.552549526288,301.2248834737138,0.18686113591003706,0.06163020121510776,301.2248834737138,0.00379828170181467,90736.43042375246,0.028956056503008466,4.24761848837406e-06,0.05976948138648362,5.976948138648362
1986,610629,7.814967714742284,8.476922244905724,-0.66195453016344,2477.4069679999993,4802.645759350024,-2325.2387913500243,-2.0070285832007566,0.66195453016344,2325.2387913500243,0.43818380000390056,5406735.436798922,0.028987160394570697,0.000490578746533713,-0.9385776424239172,-93.85776424239171
1987,610629,8.602790211574625,8.433729550662271,0.16906066091235417,5446.836233999999,4599.622669128169,847.2135648718304,0.512587441107365,0.16906066091235417,847.2135648718304,0.028581507068121997,717770.8245028352,0.028642770706281177,3.159649297846971e-05,0.15554232374077845,15.554232374077845
1988,610629,8.628317561504595,8.665053644594847,-0.036736083090252336,5587.669429999995,5796.755506565903,-209.0860765659072,-0.11138282984296521,0.036736083090252336,209.0860765659072,0.0013495398008139237,43716.98741372441,0.028607793326547077,1.4899699538578598e-06,-0.037419192238419045,-3.7419192238419043
1989,610629,8.553094029107061,8.743289355543814,-0.1901953264367524,5182.765271999998,6268.481100424102,-1085.715828424104,-0.5766671865747488,0.1901953264367524,1085.715828424104,0.03617426219838281,1178778.8600906385,0.0284245837972169,3.9667738836916884e-05,-0.20948581914170558,-20.948581914170557
1990,610629,8.747536306919379,8.867370361190634,-0.11983405427125504,6295.159646000002,7096.594933718287,-801.4352877182855,-0.3633336750544729,0.11983405427125504,801.4352877182855,0.014360200563086099,642298.5204000911,0.02829707492398913,1.5672263092083453e-05,-0.12730976381631948,-12.730976381631947
1991,610629,8.671912112678033,8.751706612618218,-0.07979449994018495,5836.649017000003,6321.467203297674,-484.81818629767076,-0.24193480800353528,0.07979449994018495,484.81818629767076,0.006367162220704175,235048.673764963,0.028695570873246964,7.052559017922948e-06,-0.08306447498994275,-8.306447498994276
